DAY,AVERAGE of ARRIVAL_DELAY,AVERAGE of DEPARTURE_DELAY,,AIRLINE,COUNTA of FLIGHT_NUMBER,COUNTA of FLIGHT_NUMBER,AVERAGE of DEPARTURE_DELAY,AVERAGE of ARRIVAL_DELAY,,,
GRB,63.8,62.6,,,,,,,,,
GRK,-0.5,-2,,,,,,,,,
GRR,1.666666667,5.266666667,,,,,,,,,
GSO,16.75,24.25,,,,,,,,,
GSP,-7.333333333,-5.666666667,,,,,,,,,
GTF,-12,-14,,,,,,,,,
GTR,4.5,-2,,,,,,,,,
HDN,-23,-6,,,,,,,,,
HLN,-5,-8,,,,,,,,,
HNL,-4.125,0.5178571429,,,,,,,,,
HOB,-5,-2,,,,,,,,,
HOU,3.227272727,9.022727273,,,,,,,,,
HPN,58,50.6,,,,,,,,,
HRL,-1.666666667,-4.666666667,,,,,,,,,
HSV,-4.125,0.75,,,,,,,,,
IAD,9.461538462,14.15384615,,,,,,,,,
IAG,23,1,,,,,,,,,
IAH,1.684210526,5.872180451,,,,,,,,,
ICT,5.75,15.5,,,,,,,,,
IDA,-13,-1.333333333,,,,,,,,,
ILM,-12.5,-8.5,,,,,,,,,
IND,-0.2857142857,7.714285714,,,,,,,,,
ISN,4.2,-2.6,,,,,,,,,
ISP,0.5,0,,,,,,,,,
ITO,6.4,1.8,,,,,,,,,
JAC,-21,-6,,,,,,,,,
JAN,-11.71428571,-2.571428571,,,,,,,,,
JAX,15.66666667,17.16666667,,,,,,,,,
JFK,7.078651685,11.62921348,,,,,,,,,
JLN,-2,-1,,,,,,,,,
JNU,-3.5,0.5,,,,,,,,,
KOA,-4.769230769,0.4615384615,,,,,,,,,
KTN,-17.6,-12.8,,,,,,,,,
LAN,-24,-9,,,,,,,,,
LAS,5.25,9.646551724,,,,,,,,,
LAX,4.876344086,5.946236559,,,,,,,,,
LBB,9.333333333,-0.6666666667,,,,,,,,,
LCH,15,-1,,,,,,,,,
LEX,-18.66666667,-5.333333333,,,,,,,,,
LFT,12.5,14.5,,,,,,,,,
LGA,1.15,9.35,,,,,,,,,
LGB,-6.6,-2.4,,,,,,,,,
